time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-06-15 00:00:00+00:00,19,7,0,0
2026-06-16 00:00:00+00:00,31,11,0,0
2026-06-17 00:00:00+00:00,26,13,0,0
2026-06-18 00:00:00+00:00,38,11,0,0
2026-06-19 00:00:00+00:00,45,13,0,0
2026-06-20 00:00:00+00:00,47,17,0,0
2026-06-21 00:00:00+00:00,43,14,0,0
2026-06-22 00:00:00+00:00,40,12,0,0
2026-06-23 00:00:00+00:00,36,9,0,0
2026-06-24 00:00:00+00:00,45,14,0,0
2026-06-25 00:00:00+00:00,32,9,0,0
2026-06-26 00:00:00+00:00,30,12,0,0
2026-06-27 00:00:00+00:00,15,7,0,0
2026-06-28 00:00:00+00:00,22,9,4,1
